1942,psg0,1.00,psg1,1.00
1943,psg0,1.00,psg1,1.00,fm0,0.73,fm1,0.73
aliens,fm,1.00,pcm,0.23
biocom,fm,1.00
btiger,psg0,1.00,psg1,1.00,fm0,0.81,fm1,0.81
bubl,fm03,0.84,fm26,0.84,psg,1.00
castle,fm,1.00,scc,0.42,pcm_a,0.45,pcm_b,0.56
circus,psg1,1.00,psg2,1.00,rdac,0.42
commnd,psg0,1.00,psg1,1.00,fm0,0.94,fm1,0.94
comsc,fm,0.45,pcm,1.00,psga,0.37,psgb,0.37,psgc,0.37
contra,fm,1.00
cop,opn,0.25,opl,0.25,psg,0.31,pcm,1.00
dd,pcm_a,1.00,pcm_b,1.00,fm,0.71
dd2,pcm,1.50,fm,0.75
exed,psg0,0.53,psg1,1.00,psg2,1.00
flane,pcm0,1.00,pcm1,1.00
flstory,msm,1.00,psg,0.91,dac,0.91
fround,fm,1.00,pcm,0.15,upd,0.35
gaiden,pcm,0.80,fm0,0.26,fm1,0.26,psg0,0.16,psg1,0.16
gng,psg0,1.00,psg1,1.00,fm0,0.51,fm1,0.51
gunsmk,psg0,1.00,psg1,1.00,fm0,0.51,fm1,0.51
karnov,opn,0.70,opl,0.70,psg,1.00
kchamp,psg0a,0.46,psg0bc,0.78,psg1,0.59,pcm,1.00,dac,0.72
kicker,ti1,1.00,ti2,1.00
kiwi,fm,1.00,psg,0.83,pcm,1.00
kunio,fm,1.50,pcm,1.40
labrun,psg0,1.00,psg1,1.00,fm0,0.55,fm1,0.55
midres,opn,0.25,opl,0.25,psg,0.31,pcm,1.00
mikie,psg1,0.66,psg2,0.66,rdac,1.00
mx5k,fm,1.00,pcm,0.39
ngpngpcninja,opn,0.25,opl,0.25,psg,0.31,pcm,1.00
outrun,fm,0.54,pcm,1.00
pang,pcm,0.69,fm,1.00
paroda,snd,1.00
pinpon,ti1,1.00
rastan,fm,0.45,pcm,1.00
riders,k60,1.00
roadf,vlm,1.00,psg,0.85,rdac,0.27
roc,psg0a,1.00,psg0b,1.00,psg0c,1.00,psg1a,1.00,psg1b,1.00,psg1c,1.00
rumble,psg0,1.00,psg1,1.00,fm0,0.69,fm1,0.69
s16,fm,1.00,pcm,0.67
s16b,fm,0.19,pcm,1.00
s18,fm0,1.00,fm1,1.00,pcm,0.81
sarms,psg0,1.00,psg1,1.00,fm0,0.69,fm1,0.69
sbaskt,vlm,1.00,psg,0.85,rdac,0.27
sectnz,psg0,1.00,psg1,1.00,fm0,0.69,fm1,0.69
sf,fm,0.11,pcm0,0.33,pcm1,0.33
shanon,fm,0.54,pcm,1.00
shouse,fm,0.49,pcm,0.75,cus30,1.00
simson,snd,1.00
slyspy,opn,0.25,opl,0.25,psg,0.31,pcm,1.00
tmnt,fm,1.00,k60,1.00,pcm,0.27,title,0.34,upd,0.85
tokitora,fm0,0.62,fm1,0.62,psg0,0.72,psg1,0.72,pcm,1.00
track,vlm,1.00,psg,0.85,rdac,0.27
trojan,psg0,1.00,psg1,1.00,fm0,0.39,fm1,0.39,pcm,0.87
twin16,fm,1.98,pcm,0.30,upd,1.40
vigil,pcm,0.40,fm,0.22
wc,pcmsnd,1.00,psg0,0.27,psg1,0.27
wwfss,pcm,1.00,fm,0.12
xmen,fm,0.95,k539,1.00
yiear,ti1,1.00,vlm,0.92
