jtsbaskt_20211231	da30e7b
jtsbaskt_20220107	52b036c
jtsbaskt_20220114	0f9469c
jtsbaskt_20220121	3ad1c9d
jtsbaskt_20220201	9183e8e
jtsbaskt_20220311	65d527b
jtsbaskt_20220318	5d839e7
jtsbaskt_20220325	eec54f0
jtsbaskt_20220330	cd4e784
jtsbaskt_20220422	a5c206f
jtsbaskt_20220426	222a38e
jtsbaskt_20220428	4521fd5
jtsbaskt_20220509	af236c7
jtsbaskt_20220610	689bc5f
jtsbaskt_20220818	6fdf983
